target,suite,task,trial,temperature,status,time_s,completion_tokens,failure_note
aya,brutal-bash,total_size,1,0.7,fail,2.04,44,usage: du [-Aclnx] [-H | -L | -P] [-g | -h | -k | -m] [-a | -s | -d depth] [-B blocksize] [-I mask] [-t threshold] [file
aya,brutal-bash,total_size,2,0.7,fail,2.03,44,usage: du [-Aclnx] [-H | -L | -P] [-g | -h | -k | -m] [-a | -s | -d depth] [-B blocksize] [-I mask] [-t threshold] [file
aya,brutal-c,arena_alloc,0,0.0,compile_error,33.56,598,solution.c:29:22: error: invalid operands to binary expression ('uint8_t *' (aka 'unsigned char *') 
aya,brutal-c,arena_alloc,1,0.7,compile_error,92.39,1586,solution.c:29:22: error: invalid operands to binary expression ('uint8_t *' (aka 'unsigned char *') 
aya,brutal-c,arena_alloc,2,0.7,wrong_answer,31.02,544,solution.c:29:22: error: invalid operands to binary expression ('uint8_t *' (aka 'unsigned char *') 
aya,brutal-c,utf8_next,0,0.0,compile_error,10.65,186,"solution.c:3:39: error: unknown type name 'size_t'
    3 | int utf8_next(const unsigned char *s, siz"
aya,brutal-c,utf8_next,1,0.7,compile_error,40.48,716,"solution.c:3:39: error: unknown type name 'size_t'
    3 | int utf8_next(const unsigned char *s, siz"
aya,brutal-c,utf8_next,2,0.7,compile_error,9.47,162,"solution.c:3:39: error: unknown type name 'size_t'
    3 | int utf8_next(const unsigned char *s, siz"
aya,brutal-python,clone_graph,0,0.0,fail,5.11,84,RecursionError: maximum recursion depth exceeded
aya,brutal-python,clone_graph,1,0.7,fail,5.08,84,RecursionError: maximum recursion depth exceeded
aya,brutal-python,clone_graph,2,0.7,fail,5.24,84,RecursionError: maximum recursion depth exceeded
aya,brutal-python,path_glob,0,0.0,fail,14.64,256,AssertionError
aya,brutal-python,path_glob,1,0.7,fail,21.47,373,AssertionError
aya,brutal-python,path_glob,2,0.7,fail,15.35,267,AssertionError
aya,ceval,atoi_strict,0,0.0,compile_error,10.68,175,"solution.c:15:24: error: call to undeclared library function 'strtol' with type 'long (const char *,"
aya,ceval,atoi_strict,1,0.7,compile_error,10.45,173,"solution.c:15:24: error: call to undeclared library function 'strtol' with type 'long (const char *,"
aya,ceval,atoi_strict,2,0.7,wrong_answer,11.3,188,"solution.c:15:24: error: call to undeclared library function 'strtol' with type 'long (const char *,"
aya,ceval,binary_search,0,0.0,pass,8.54,128,
aya,ceval,binary_search,1,0.7,pass,7.76,118,
aya,ceval,binary_search,2,0.7,pass,8.26,126,
aya,ceval,bswap32,0,0.0,pass,3.2,47,solution.c:4:12: error: call to undeclared function '__bswap_32'; ISO C99 and later do not support i
aya,ceval,bswap32,1,0.7,pass,3.04,47,solution.c:4:12: error: call to undeclared function '__bswap_32'; ISO C99 and later do not support i
aya,ceval,bswap32,2,0.7,compile_error,2.69,46,solution.c:4:12: error: call to undeclared function '__bswap_32'; ISO C99 and later do not support i
aya,ceval,cmp_desc,0,0.0,wrong_answer,3.66,55,FAIL sorted[0]=-2147483648 want 2147483647
aya,ceval,cmp_desc,1,0.7,wrong_answer,3.3,53,FAIL sorted[0]=-2147483648 want 2147483647
aya,ceval,cmp_desc,2,0.7,wrong_answer,4.3,69,FAIL sorted[0]=-2147483648 want 2147483647
aya,ceval,count_words,0,0.0,compile_error,4.95,69,solution.c:4:16: error: call to undeclared library function 'isspace' with type 'int (int)'; ISO C99
aya,ceval,count_words,1,0.7,pass,5.49,81,solution.c:4:16: error: call to undeclared library function 'isspace' with type 'int (int)'; ISO C99
aya,ceval,count_words,2,0.7,compile_error,4.48,69,solution.c:4:16: error: call to undeclared library function 'isspace' with type 'int (int)'; ISO C99
aya,ceval,fizzbuzz,0,0.0,pass,7.03,99,solution.c:6:12: error: call to undeclared function 'itoa'; ISO C99 and later do not support implici
aya,ceval,fizzbuzz,1,0.7,pass,7.17,107,solution.c:6:12: error: call to undeclared function 'itoa'; ISO C99 and later do not support implici
aya,ceval,fizzbuzz,2,0.7,compile_error,5.89,89,solution.c:6:12: error: call to undeclared function 'itoa'; ISO C99 and later do not support implici
aya,ceval,is_prime,0,0.0,pass,5.81,84,
aya,ceval,is_prime,1,0.7,pass,5.67,84,
aya,ceval,is_prime,2,0.7,pass,5.81,85,
aya,ceval,itoa,0,0.0,compile_error,14.37,224,"solution.c:6:9: error: call to undeclared library function 'strcpy' with type 'char *(char *, const "
aya,ceval,itoa,1,0.7,pass,13.41,210,"solution.c:6:9: error: call to undeclared library function 'strcpy' with type 'char *(char *, const "
aya,ceval,itoa,2,0.7,pass,13.26,207,"solution.c:6:9: error: call to undeclared library function 'strcpy' with type 'char *(char *, const "
aya,ceval,max_subarray,0,0.0,pass,8.06,125,
aya,ceval,max_subarray,1,0.7,pass,11.56,178,
aya,ceval,max_subarray,2,0.7,pass,8.23,125,
aya,ceval,parse_csv_ints,0,0.0,compile_error,12.01,190,solution.c:12:13: error: call to undeclared library function 'isdigit' with type 'int (int)'; ISO C9
aya,ceval,parse_csv_ints,1,0.7,compile_error,14.71,238,solution.c:12:13: error: call to undeclared library function 'isdigit' with type 'int (int)'; ISO C9
aya,ceval,parse_csv_ints,2,0.7,compile_error,18.4,299,solution.c:12:13: error: call to undeclared library function 'isdigit' with type 'int (int)'; ISO C9
aya,ceval,popcount,0,0.0,pass,8.75,141,
aya,ceval,popcount,1,0.7,pass,8.61,141,
aya,ceval,popcount,2,0.7,pass,7.72,126,
aya,ceval,reverse_string,0,0.0,compile_error,4.95,82,solution.c:4:21: error: call to undeclared library function 'strlen' with type 'unsigned long (const
aya,ceval,reverse_string,1,0.7,compile_error,6.27,82,solution.c:4:21: error: call to undeclared library function 'strlen' with type 'unsigned long (const
aya,ceval,reverse_string,2,0.7,compile_error,5.2,79,solution.c:4:21: error: call to undeclared library function 'strlen' with type 'unsigned long (const
aya,ceval,ring,0,0.0,wrong_answer,13.3,215,FAIL wrap pop got 0 want 4
aya,ceval,ring,1,0.7,wrong_answer,14.28,227,FAIL wrap pop got 0 want 4
aya,ceval,ring,2,0.7,wrong_answer,13.07,215,FAIL wrap pop got 0 want 4
aya,ceval,rot13,0,0.0,compile_error,6.53,105,solution.c:5:13: error: call to undeclared library function 'isalpha' with type 'int (int)'; ISO C99
aya,ceval,rot13,1,0.7,compile_error,5.99,96,solution.c:5:13: error: call to undeclared library function 'isalpha' with type 'int (int)'; ISO C99
aya,ceval,rot13,2,0.7,compile_error,6.01,96,solution.c:5:13: error: call to undeclared library function 'isalpha' with type 'int (int)'; ISO C99
aya,ceval,stack,0,0.0,pass,10.57,163,
aya,ceval,stack,1,0.7,pass,10.26,163,
aya,ceval,stack,2,0.7,pass,10.11,163,
aya,ceval,trim,0,0.0,compile_error,7.56,122,solution.c:5:32: error: incompatible integer to pointer conversion passing 'char' to parameter of ty
aya,ceval,trim,1,0.7,compile_error,6.7,109,solution.c:5:32: error: incompatible integer to pointer conversion passing 'char' to parameter of ty
aya,ceval,trim,2,0.7,compile_error,7.96,130,solution.c:5:32: error: incompatible integer to pointer conversion passing 'char' to parameter of ty
aya,chard,csv_field,0,0.0,wrong_answer,16.64,260,"FAIL csv_field(""a,b,c"", 0) = ""abc"" (3), want ""a"" (1)"
aya,chard,csv_field,1,0.7,compile_error,13.66,218,"FAIL csv_field(""a,b,c"", 0) = ""abc"" (3), want ""a"" (1)"
aya,chard,csv_field,2,0.7,wrong_answer,16.54,279,"FAIL csv_field(""a,b,c"", 0) = ""abc"" (3), want ""a"" (1)"
aya,chard,glob_match,0,0.0,wrong_answer,8.48,143,"FAIL ""abc"" should match ""abc"""
aya,chard,glob_match,1,0.7,wrong_answer,11.06,189,"FAIL ""abc"" should match ""abc"""
aya,chard,glob_match,2,0.7,wrong_answer,11.77,196,"FAIL ""abc"" should match ""abc"""
aya,chard,rpn_eval,0,0.0,compile_error,12.31,208,solution.c:9:13: error: call to undeclared library function 'isdigit' with type 'int (int)'; ISO C99
aya,chard,rpn_eval,1,0.7,compile_error,15.49,267,solution.c:9:13: error: call to undeclared library function 'isdigit' with type 'int (int)'; ISO C99
aya,chard,rpn_eval,2,0.7,compile_error,27.1,459,solution.c:9:13: error: call to undeclared library function 'isdigit' with type 'int (int)'; ISO C99
aya,pyhard,json_diff,0,0.0,fail,14.2,234,TypeError: unsupported operand type(s) for +: 'set' and 'set'
aya,pyhard,json_diff,1,0.7,fail,12.51,204,TypeError: unsupported operand type(s) for +: 'set' and 'set'
aya,pyhard,json_diff,2,0.7,fail,12.06,193,TypeError: unsupported operand type(s) for +: 'set' and 'set'
aya,pyhard,lru_cache,0,0.0,pass,10.11,160,
aya,pyhard,lru_cache,1,0.7,pass,9.79,159,
aya,pyhard,lru_cache,2,0.7,pass,10.2,167,
aya,pyhard,topological_sort,0,0.0,fail,18.04,296,"AssertionError: ['app', 'lib', 'base']"
aya,pyhard,topological_sort,1,0.7,fail,12.79,208,"AssertionError: ['app', 'lib', 'base']"
aya,pyhard,topological_sort,2,0.7,fail,17.91,297,"AssertionError: ['app', 'lib', 'base']"
aya,python,csv_column_sum,0,0.0,pass,5.0,85,IndexError: list index out of range
aya,python,csv_column_sum,1,0.7,pass,5.41,96,IndexError: list index out of range
aya,python,csv_column_sum,2,0.7,fail,5.79,103,IndexError: list index out of range
aya,python,deep_get,0,0.0,pass,4.19,67,
aya,python,deep_get,1,0.7,pass,3.07,53,
aya,python,deep_get,2,0.7,pass,3.06,53,
aya,python,flatten,0,0.0,pass,2.8,26,
aya,python,flatten,1,0.7,pass,1.14,26,
aya,python,flatten,2,0.7,pass,1.13,26,
aya,python,is_valid_ipv4,0,0.0,fail,6.16,102,AssertionError
aya,python,is_valid_ipv4,1,0.7,fail,4.71,83,AssertionError
aya,python,is_valid_ipv4,2,0.7,fail,6.51,115,AssertionError
aya,python,merge_intervals,0,0.0,pass,6.64,110,
aya,python,merge_intervals,1,0.7,pass,7.49,133,
aya,python,merge_intervals,2,0.7,pass,6.2,110,
aya,python,parse_json_safely,0,0.0,pass,1.87,42,
aya,python,parse_json_safely,1,0.7,pass,3.05,42,
aya,python,parse_json_safely,2,0.7,pass,2.41,42,
aya,python,run_length_encode,0,0.0,pass,5.81,99,AssertionError
aya,python,run_length_encode,1,0.7,fail,4.26,75,AssertionError
aya,python,run_length_encode,2,0.7,pass,5.1,90,AssertionError
aya,python,top_k_words,0,0.0,pass,4.32,70,
aya,python,top_k_words,1,0.7,pass,4.06,70,
aya,python,top_k_words,2,0.7,pass,4.04,70,
aya,research,rhel10_nfs,0,0.0,fail,28.47,216,"hits 5/7 (nfs-tls,krb5p-overhead,fs-cache,retrans-timeo,rear-ipv6) traps 0 ()"
aya,research,rhel10_nfs,1,0.7,fail,16.15,190,"hits 5/7 (nfs-tls,krb5p-overhead,fs-cache,retrans-timeo,rear-ipv6) traps 0 ()"
aya,research,rhel10_nfs,2,0.7,pass,26.64,317,"hits 5/7 (nfs-tls,krb5p-overhead,fs-cache,retrans-timeo,rear-ipv6) traps 0 ()"
aya,shhard,backup_rotate,0,0.0,fail,26.8,438,Invalid directory: /private/var/folders/0w/wrzc55sn6td0n6x1w_nzm30w0000gn/T/tmp9m8p904n/bk
aya,shhard,backup_rotate,1,0.7,fail,10.46,173,Invalid directory: /private/var/folders/0w/wrzc55sn6td0n6x1w_nzm30w0000gn/T/tmp9m8p904n/bk
aya,shhard,backup_rotate,2,0.7,fail,16.21,264,Invalid directory: /private/var/folders/0w/wrzc55sn6td0n6x1w_nzm30w0000gn/T/tmp9m8p904n/bk
aya,shhard,find_dupes,0,0.0,fail,15.28,246,FAIL got:
aya,shhard,find_dupes,1,0.7,fail,4.81,74,FAIL got:
aya,shhard,find_dupes,2,0.7,fail,8.85,145,FAIL got:
aya,shhard,top_errors,0,0.0,fail,11.98,193,"solution.sh: line 25: 0..1 - 1: arithmetic syntax error: invalid arithmetic operator (error token is ""..1 - 1"")"
aya,shhard,top_errors,1,0.7,fail,13.44,218,"solution.sh: line 25: 0..1 - 1: arithmetic syntax error: invalid arithmetic operator (error token is ""..1 - 1"")"
aya,shhard,top_errors,2,0.7,fail,17.46,282,"solution.sh: line 25: 0..1 - 1: arithmetic syntax error: invalid arithmetic operator (error token is ""..1 - 1"")"
coder,bash,count_matches,0,0.0,fail,0.81,70,FAIL count foo
coder,bash,count_matches,1,0.7,fail,0.78,78,FAIL count foo
coder,bash,count_matches,2,0.7,pass,0.27,21,FAIL count foo
coder,bash,csv_col,0,0.0,fail,0.95,83,FAIL got:
coder,bash,csv_col,1,0.7,fail,0.65,61,FAIL got:
coder,bash,csv_col,2,0.7,fail,0.82,81,FAIL got:
coder,bash,extract_urls,0,0.0,fail,0.37,23,https://c.net
coder,bash,extract_urls,1,0.7,fail,0.29,23,https://c.net
coder,bash,extract_urls,2,0.7,fail,0.38,34,https://c.net
coder,bash,json_get,0,0.0,fail,0.64,50,json.decoder.JSONDecodeError: Expecting value: line 1 column 1 (char 0)
coder,bash,json_get,1,0.7,pass,0.41,36,json.decoder.JSONDecodeError: Expecting value: line 1 column 1 (char 0)
coder,bash,json_get,2,0.7,pass,0.5,46,json.decoder.JSONDecodeError: Expecting value: line 1 column 1 (char 0)
coder,bash,largest_file,0,0.0,fail,0.64,50,usage: stat [-FLnq] [-f format | -l | -r | -s | -x] [-t timefmt] [file ...]
coder,bash,largest_file,1,0.7,fail,0.76,74,usage: stat [-FLnq] [-f format | -l | -r | -s | -x] [-t timefmt] [file ...]
coder,bash,largest_file,2,0.7,fail,0.53,50,usage: stat [-FLnq] [-f format | -l | -r | -s | -x] [-t timefmt] [file ...]
coder,bash,retry3,0,0.0,fail,0.85,71,test.sh: line 5: retry3: command not found
coder,bash,retry3,1,0.7,fail,0.74,72,test.sh: line 5: retry3: command not found
coder,bash,retry3,2,0.7,fail,0.46,42,test.sh: line 5: retry3: command not found
coder,bash,rotate,0,0.0,pass,0.81,74,cat: log.2: No such file or directory
coder,bash,rotate,1,0.7,fail,0.71,70,cat: log.2: No such file or directory
coder,bash,rotate,2,0.7,pass,0.74,74,cat: log.2: No such file or directory
coder,bash,sum_stdin,0,0.0,pass,0.71,59,
coder,bash,sum_stdin,1,0.7,pass,0.62,58,
coder,bash,sum_stdin,2,0.7,pass,0.64,62,
coder,brutal-bash,csv_to_tsv,0,0.0,truncated,44.39,4096,hit the 4096-token cap
coder,brutal-bash,csv_to_tsv,1,0.7,fail,6.8,666,hit the 4096-token cap
coder,brutal-bash,csv_to_tsv,2,0.7,fail,5.7,563,hit the 4096-token cap
coder,brutal-bash,total_size,0,0.0,pass,0.98,84,
coder,brutal-bash,total_size,1,0.7,pass,0.93,80,
coder,brutal-bash,total_size,2,0.7,pass,0.92,80,
coder,brutal-c,arena_alloc,0,0.0,wrong_answer,6.7,760,FAIL free blocks were never merged
coder,brutal-c,arena_alloc,1,0.7,compile_error,9.71,1082,FAIL free blocks were never merged
coder,brutal-c,arena_alloc,2,0.7,compile_error,6.71,716,FAIL free blocks were never merged
coder,brutal-c,utf8_next,0,0.0,compile_error,7.05,760,"solution.c:3:39: error: unknown type name 'size_t'
    3 | int utf8_next(const unsigned char *s, siz"
coder,brutal-c,utf8_next,1,0.7,compile_error,7.26,778,"solution.c:3:39: error: unknown type name 'size_t'
    3 | int utf8_next(const unsigned char *s, siz"
coder,brutal-c,utf8_next,2,0.7,compile_error,8.8,930,"solution.c:3:39: error: unknown type name 'size_t'
    3 | int utf8_next(const unsigned char *s, siz"
coder,brutal-python,clone_graph,0,0.0,pass,2.61,259,
coder,brutal-python,clone_graph,1,0.7,pass,2.56,251,
coder,brutal-python,clone_graph,2,0.7,pass,2.56,250,
coder,brutal-python,path_glob,0,0.0,truncated,45.08,4096,hit the 4096-token cap
coder,brutal-python,path_glob,1,0.7,fail,3.38,325,hit the 4096-token cap
coder,brutal-python,path_glob,2,0.7,fail,14.42,1420,hit the 4096-token cap
coder,ceval,atoi_strict,0,0.0,compile_error,2.1,218,"solution.c:9:27: error: use of undeclared identifier 'ns'
    9 |     while (*p == ' ' || *(ns) == '"
coder,ceval,atoi_strict,1,0.7,compile_error,2.18,231,"solution.c:9:27: error: use of undeclared identifier 'ns'
    9 |     while (*p == ' ' || *(ns) == '"
coder,ceval,atoi_strict,2,0.7,compile_error,1.86,194,"solution.c:9:27: error: use of undeclared identifier 'ns'
    9 |     while (*p == ' ' || *(ns) == '"
coder,ceval,binary_search,0,0.0,pass,1.21,118,
coder,ceval,binary_search,1,0.7,pass,1.14,118,
coder,ceval,binary_search,2,0.7,pass,1.11,118,
coder,ceval,bswap32,0,0.0,pass,1.14,109,
coder,ceval,bswap32,1,0.7,pass,1.12,109,
coder,ceval,bswap32,2,0.7,pass,1.06,109,
coder,ceval,cmp_desc,0,0.0,pass,0.82,74,
coder,ceval,cmp_desc,1,0.7,pass,0.74,74,
coder,ceval,cmp_desc,2,0.7,pass,0.75,74,
coder,ceval,count_words,0,0.0,compile_error,1.21,118,"solution.c:2:14: error: use of undeclared identifier 'NULL'
    2 |     if (s == NULL) return 0;
   "
coder,ceval,count_words,1,0.7,compile_error,0.83,88,"solution.c:2:14: error: use of undeclared identifier 'NULL'
    2 |     if (s == NULL) return 0;
   "
coder,ceval,count_words,2,0.7,compile_error,1.0,109,"solution.c:2:14: error: use of undeclared identifier 'NULL'
    2 |     if (s == NULL) return 0;
   "
coder,ceval,fizzbuzz,0,0.0,compile_error,1.39,145,"solution.c:3:14: error: invalid suffix 'import' on integer constant
    3 |     if (n % 1import <std"
coder,ceval,fizzbuzz,1,0.7,compile_error,2.5,275,"solution.c:3:14: error: invalid suffix 'import' on integer constant
    3 |     if (n % 1import <std"
coder,ceval,fizzbuzz,2,0.7,compile_error,1.02,103,"solution.c:3:14: error: invalid suffix 'import' on integer constant
    3 |     if (n % 1import <std"
coder,ceval,is_prime,0,0.0,pass,1.21,119,FAIL is_prime(7)=0 want 1
coder,ceval,is_prime,1,0.7,wrong_answer,1.12,119,FAIL is_prime(7)=0 want 1
coder,ceval,is_prime,2,0.7,pass,1.12,120,FAIL is_prime(7)=0 want 1
coder,ceval,itoa,0,0.0,wrong_answer,2.14,215,"FAIL itoa(12345)=""15432"" want ""12345"""
coder,ceval,itoa,1,0.7,wrong_answer,3.42,365,"FAIL itoa(12345)=""15432"" want ""12345"""
coder,ceval,itoa,2,0.7,pass,1.97,214,"FAIL itoa(12345)=""15432"" want ""12345"""
coder,ceval,max_subarray,0,0.0,compile_error,1.06,103,"solution.c:5:20: error: use of undeclared identifier 'import'
    5 |     for (int i = 1;import < n;"
coder,ceval,max_subarray,1,0.7,compile_error,1.18,123,"solution.c:5:20: error: use of undeclared identifier 'import'
    5 |     for (int i = 1;import < n;"
coder,ceval,max_subarray,2,0.7,compile_error,1.42,149,"solution.c:5:20: error: use of undeclared identifier 'import'
    5 |     for (int i = 1;import < n;"
coder,ceval,parse_csv_ints,0,0.0,compile_error,1.54,159,"solution.c:13:45: error: invalid suffix 'public' on integer constant
   13 |         long val = strt"
coder,ceval,parse_csv_ints,1,0.7,compile_error,1.02,106,"solution.c:13:45: error: invalid suffix 'public' on integer constant
   13 |         long val = strt"
coder,ceval,parse_csv_ints,2,0.7,compile_error,2.06,221,"solution.c:13:45: error: invalid suffix 'public' on integer constant
   13 |         long val = strt"
coder,ceval,popcount,0,0.0,compile_error,0.56,46,"solution.c:3:12: error: use of undeclared identifier 'public'
    3 |     while (public) {
      |  "
coder,ceval,popcount,1,0.7,compile_error,0.49,46,"solution.c:3:12: error: use of undeclared identifier 'public'
    3 |     while (public) {
      |  "
coder,ceval,popcount,2,0.7,compile_error,0.58,56,"solution.c:3:12: error: use of undeclared identifier 'public'
    3 |     while (public) {
      |  "
coder,ceval,reverse_string,0,0.0,pass,1.19,81,
coder,ceval,reverse_string,1,0.7,pass,0.99,101,
coder,ceval,reverse_string,2,0.7,pass,0.85,81,
coder,ceval,ring,0,0.0,pass,1.9,194,
coder,ceval,ring,1,0.7,pass,1.79,194,
coder,ceval,ring,2,0.7,pass,1.88,194,
coder,ceval,rot13,0,0.0,pass,1.38,132,
coder,ceval,rot13,1,0.7,pass,1.34,132,
coder,ceval,rot13,2,0.7,pass,1.38,132,
coder,ceval,stack,0,0.0,pass,1.46,148,
coder,ceval,stack,1,0.7,pass,1.46,148,
coder,ceval,stack,2,0.7,pass,1.39,148,
coder,ceval,trim,0,0.0,compile_error,1.5,152,"solution.c:10:30: error: use of undeclared identifier 'public'
   10 |         if (*temp != ' ' && *"
coder,ceval,trim,1,0.7,compile_error,4.23,451,"solution.c:10:30: error: use of undeclared identifier 'public'
   10 |         if (*temp != ' ' && *"
coder,ceval,trim,2,0.7,compile_error,1.52,162,"solution.c:10:30: error: use of undeclared identifier 'public'
   10 |         if (*temp != ' ' && *"
coder,chard,csv_field,0,0.0,wrong_answer,4.59,431,"FAIL csv_field(""""a,b"",c"", 0) = """"a,b"""" (5), want ""a,b"" (3)"
coder,chard,csv_field,1,0.7,wrong_answer,3.2,309,"FAIL csv_field(""""a,b"",c"", 0) = """"a,b"""" (5), want ""a,b"" (3)"
coder,chard,csv_field,2,0.7,compile_error,4.77,467,"FAIL csv_field(""""a,b"",c"", 0) = """"a,b"""" (5), want ""a,b"" (3)"
coder,chard,glob_match,0,0.0,compile_error,2.79,159,solution.c:4:24: error: use of undeclared identifier 'NULL'
coder,chard,glob_match,1,0.7,compile_error,1.67,176,solution.c:4:24: error: use of undeclared identifier 'NULL'
coder,chard,glob_match,2,0.7,compile_error,1.58,169,solution.c:4:24: error: use of undeclared identifier 'NULL'
coder,chard,rpn_eval,0,0.0,compile_error,2.3,245,solution.c:17:29: error: use of undeclared identifier 'public'
coder,chard,rpn_eval,1,0.7,compile_error,2.15,226,solution.c:17:29: error: use of undeclared identifier 'public'
coder,chard,rpn_eval,2,0.7,compile_error,2.23,210,solution.c:17:29: error: use of undeclared identifier 'public'
coder,pyhard,json_diff,0,0.0,fail,2.56,233,SyntaxError: invalid syntax
coder,pyhard,json_diff,1,0.7,fail,2.5,234,SyntaxError: invalid syntax
coder,pyhard,json_diff,2,0.7,fail,3.59,322,SyntaxError: invalid syntax
coder,pyhard,lru_cache,0,0.0,pass,1.58,137,
coder,pyhard,lru_cache,1,0.7,pass,1.45,137,
coder,pyhard,lru_cache,2,0.7,pass,1.63,154,
coder,pyhard,topological_sort,0,0.0,fail,2.57,246,NameError: name 'public' is not defined
coder,pyhard,topological_sort,1,0.7,fail,3.2,308,NameError: name 'public' is not defined
coder,pyhard,topological_sort,2,0.7,fail,2.93,274,NameError: name 'public' is not defined
coder,python,csv_column_sum,0,0.0,pass,0.9,79,SyntaxError: invalid syntax
coder,python,csv_column_sum,1,0.7,fail,0.61,59,SyntaxError: invalid syntax
coder,python,csv_column_sum,2,0.7,fail,0.81,82,SyntaxError: invalid syntax
coder,python,deep_get,0,0.0,pass,0.71,60,
coder,python,deep_get,1,0.7,pass,0.64,60,
coder,python,deep_get,2,0.7,pass,0.62,60,
coder,python,flatten,0,0.0,fail,1.95,68,NameError: name 'subyte' is not defined
coder,python,flatten,1,0.7,fail,0.66,67,NameError: name 'subyte' is not defined
coder,python,flatten,2,0.7,pass,0.33,30,NameError: name 'subyte' is not defined
coder,python,is_valid_ipv4,0,0.0,pass,1.15,118,
coder,python,is_valid_ipv4,1,0.7,pass,0.84,92,
coder,python,is_valid_ipv4,2,0.7,pass,1.08,118,
coder,python,merge_intervals,0,0.0,fail,1.46,154,NameError: name 'currentyte' is not defined. Did you mean: 'current_end'?
coder,python,merge_intervals,1,0.7,fail,1.23,130,NameError: name 'currentyte' is not defined. Did you mean: 'current_end'?
coder,python,merge_intervals,2,0.7,fail,0.64,62,NameError: name 'currentyte' is not defined. Did you mean: 'current_end'?
coder,python,parse_json_safely,0,0.0,fail,0.88,89,IndentationError: expected an indented block after 'try' statement on line 4
coder,python,parse_json_safely,1,0.7,fail,0.9,98,IndentationError: expected an indented block after 'try' statement on line 4
coder,python,parse_json_safely,2,0.7,fail,0.27,22,IndentationError: expected an indented block after 'try' statement on line 4
coder,python,run_length_encode,0,0.0,fail,1.46,142,SyntaxError: invalid syntax
coder,python,run_length_encode,1,0.7,fail,1.0,101,SyntaxError: invalid syntax
coder,python,run_length_encode,2,0.7,fail,1.03,103,SyntaxError: invalid syntax
coder,python,top_k_words,0,0.0,fail,0.69,66,SyntaxError: closing parenthesis ')' does not match opening parenthesis '['
coder,python,top_k_words,1,0.7,fail,0.6,62,SyntaxError: closing parenthesis ')' does not match opening parenthesis '['
coder,python,top_k_words,2,0.7,fail,1.01,111,SyntaxError: closing parenthesis ')' does not match opening parenthesis '['
coder,research,rhel10_nfs,0,0.0,pass,58.99,4096,"hits 6/7 (nfs-tls,rsize-wsize-1mb,krb5p-overhead,fs-cache,retrans-timeo,rear-ipv6) traps 0 ()"
coder,research,rhel10_nfs,1,0.7,fail,5.11,381,"hits 6/7 (nfs-tls,rsize-wsize-1mb,krb5p-overhead,fs-cache,retrans-timeo,rear-ipv6) traps 0 ()"
coder,research,rhel10_nfs,2,0.7,pass,4.13,290,"hits 6/7 (nfs-tls,rsize-wsize-1mb,krb5p-overhead,fs-cache,retrans-timeo,rear-ipv6) traps 0 ()"
coder,shhard,backup_rotate,0,0.0,pass,2.41,179,solution.sh: line 12: [: : integer expected
coder,shhard,backup_rotate,1,0.7,pass,1.96,166,solution.sh: line 12: [: : integer expected
