target,lang,task,first_status,last_status,passed_round,rounds_used,tokens,time_s
aya,python,topological_sort,fail,fail,0,5,1520,87.7
coder,bash,backup_rotate,fail,fail,0,5,901,9.3
coder,bash,count_matches,fail,fail,0,5,364,4.1
coder,bash,csv_col,fail,fail,0,5,410,4.7
coder,bash,extract_urls,fail,fail,0,5,127,1.9
coder,bash,find_dupes,fail,fail,0,5,1043,9.7
coder,bash,json_get,fail,pass,2,2,120,1.6
coder,bash,largest_file,fail,pass,2,2,100,1.3
coder,bash,retry3,fail,pass,2,2,144,1.7
coder,bash,rotate,pass,pass,1,1,74,0.8
coder,bash,sum_stdin,pass,pass,1,1,59,0.7
coder,bash,top_errors,fail,fail,0,5,1530,15.4
coder,c,atoi_strict,compile_error,wrong_answer,0,5,967,9.8
coder,c,binary_search,pass,pass,1,1,118,1.1
coder,c,bswap32,pass,pass,1,1,109,1.1
coder,c,cmp_desc,pass,pass,1,1,74,0.8
coder,c,count_words,compile_error,compile_error,0,5,598,5.8
coder,c,csv_field,wrong_answer,wrong_answer,0,5,2175,21.8
coder,c,fizzbuzz,compile_error,pass,3,3,358,3.6
coder,c,glob_match,compile_error,compile_error,0,5,743,7.6
coder,c,is_prime,pass,pass,1,1,119,1.2
coder,c,itoa,wrong_answer,pass,2,2,428,4.1
coder,c,max_subarray,compile_error,pass,2,2,206,2.1
coder,c,parse_csv_ints,compile_error,pass,2,2,410,4.1
coder,c,popcount,compile_error,pass,2,2,88,1.1
coder,c,reverse_string,pass,pass,1,1,81,2.1
coder,c,ring,pass,pass,1,1,194,1.9
coder,c,rot13,pass,pass,1,1,132,1.3
coder,c,rpn_eval,compile_error,pass,2,2,443,4.6
coder,c,stack,pass,pass,1,1,148,1.5
coder,c,trim,compile_error,wrong_answer,0,5,704,7.1
coder,python,csv_column_sum,pass,pass,1,1,79,0.9
coder,python,deep_get,pass,pass,1,1,60,0.7
coder,python,flatten,fail,pass,2,2,97,2.6
coder,python,is_valid_ipv4,pass,pass,1,1,118,1.2
coder,python,json_diff,fail,fail,0,5,1301,13.8
coder,python,lru_cache,pass,pass,1,1,137,1.5
coder,python,merge_intervals,fail,pass,2,2,308,3.3
coder,python,parse_json_safely,fail,pass,2,2,128,1.5
coder,python,run_length_encode,fail,pass,2,2,244,2.6
coder,python,top_k_words,fail,pass,2,2,132,1.6
coder,python,topological_sort,fail,fail,0,5,1212,12.7
coder-next,bash,backup_rotate,pass,pass,1,1,247,3.3
coder-next,bash,count_matches,fail,pass,3,3,142,2.8
coder-next,bash,csv_col,pass,pass,1,1,110,1.5
coder-next,bash,extract_urls,fail,pass,2,2,62,1.3
coder-next,bash,find_dupes,fail,pass,2,2,1018,12.8
coder-next,bash,json_get,pass,pass,1,1,95,1.3
coder-next,bash,largest_file,fail,fail,0,5,289,5.3
coder-next,bash,retry3,pass,pass,1,1,99,1.6
coder-next,bash,rotate,pass,pass,1,1,67,1.0
coder-next,bash,sum_stdin,pass,pass,1,1,61,0.9
coder-next,bash,top_errors,fail,fail,0,5,500,6.8
coder-next,c,atoi_strict,pass,pass,1,1,159,2.2
coder-next,c,binary_search,pass,pass,1,1,118,1.5
coder-next,c,bswap32,pass,pass,1,1,109,1.5
coder-next,c,cmp_desc,pass,pass,1,1,68,1.0
coder-next,c,count_words,pass,pass,1,1,95,1.2
coder-next,c,csv_field,wrong_answer,pass,2,2,1095,16.1
coder-next,c,fizzbuzz,pass,pass,1,1,108,1.4
coder-next,c,glob_match,pass,pass,1,1,193,2.7
coder-next,c,is_prime,pass,pass,1,1,130,1.6
coder-next,c,itoa,pass,pass,1,1,273,3.2
coder-next,c,max_subarray,pass,pass,1,1,117,1.5
coder-next,c,parse_csv_ints,pass,pass,1,1,239,3.1
coder-next,c,popcount,pass,pass,1,1,122,1.6
coder-next,c,reverse_string,pass,pass,1,1,103,4.9
coder-next,c,ring,pass,pass,1,1,198,2.7
coder-next,c,rot13,pass,pass,1,1,85,1.2
coder-next,c,rpn_eval,pass,pass,1,1,332,4.5
coder-next,c,stack,pass,pass,1,1,140,1.9
coder-next,c,trim,compile_error,pass,5,5,1061,14.6
coder-next,python,csv_column_sum,fail,pass,2,2,222,3.8
coder-next,python,deep_get,pass,pass,1,1,60,1.1
coder-next,python,flatten,pass,pass,1,1,22,3.9
coder-next,python,is_valid_ipv4,pass,pass,1,1,96,1.8
coder-next,python,json_diff,pass,pass,1,1,173,2.8
coder-next,python,lru_cache,pass,pass,1,1,141,2.3
coder-next,python,merge_intervals,pass,pass,1,1,140,2.2
coder-next,python,parse_json_safely,pass,pass,1,1,39,0.6
coder-next,python,run_length_encode,pass,pass,1,1,95,1.5
coder-next,python,top_k_words,pass,pass,1,1,81,1.3
coder-next,python,topological_sort,pass,pass,1,1,253,3.8
deepseek-32b,bash,backup_rotate,pass,pass,1,1,2400,140.1
deepseek-32b,bash,count_matches,pass,pass,1,1,415,22.0
deepseek-32b,bash,csv_col,pass,pass,1,1,700,40.0
deepseek-32b,bash,extract_urls,fail,no_code,0,5,19976,1105.1
deepseek-32b,bash,find_dupes,fail,no_code,0,5,16821,982.8
deepseek-32b,bash,json_get,pass,pass,1,1,551,32.2
deepseek-32b,bash,largest_file,fail,no_code,0,5,11073,603.4
deepseek-32b,bash,retry3,pass,pass,1,1,495,26.3
deepseek-32b,bash,rotate,pass,pass,1,1,652,36.8
deepseek-32b,bash,sum_stdin,pass,pass,1,1,559,33.4
deepseek-32b,bash,top_errors,fail,no_code,0,5,15500,893.0
deepseek-32b,c,atoi_strict,compile_error,pass,2,2,2917,161.7
deepseek-32b,c,binary_search,pass,pass,1,1,490,26.8
deepseek-32b,c,bswap32,pass,pass,1,1,2463,136.6
deepseek-32b,c,cmp_desc,pass,pass,1,1,596,32.2
deepseek-32b,c,count_words,compile_error,pass,2,2,1803,99.7
deepseek-32b,c,csv_field,no_code,no_code,0,5,20480,1147.3
deepseek-32b,c,fizzbuzz,compile_error,pass,2,2,1896,106.1
deepseek-32b,c,glob_match,no_code,pass,3,3,12242,689.7
deepseek-32b,c,is_prime,pass,pass,1,1,645,35.4
deepseek-32b,c,itoa,pass,pass,1,1,3025,169.3
deepseek-32b,c,max_subarray,pass,pass,1,1,1714,94.9
deepseek-32b,c,parse_csv_ints,compile_error,pass,2,2,4469,252.2
deepseek-32b,c,popcount,pass,pass,1,1,1598,87.5
deepseek-32b,c,reverse_string,pass,pass,1,1,823,45.1
deepseek-32b,c,ring,pass,pass,1,1,1657,91.2
deepseek-32b,c,rot13,pass,pass,1,1,793,42.9
deepseek-32b,c,rpn_eval,no_code,wrong_answer,0,5,19846,1111.5
deepseek-32b,c,stack,pass,pass,1,1,833,45.7
deepseek-32b,c,trim,compile_error,pass,2,2,4135,231.9
deepseek-32b,python,csv_column_sum,pass,pass,1,1,1877,100.9
deepseek-32b,python,deep_get,pass,pass,1,1,1690,90.8
deepseek-32b,python,flatten,pass,pass,1,1,562,29.5
deepseek-32b,python,is_valid_ipv4,pass,pass,1,1,2323,126.3
deepseek-32b,python,json_diff,no_code,no_code,0,5,20480,1133.0
deepseek-32b,python,lru_cache,pass,pass,1,1,2255,122.4
deepseek-32b,python,merge_intervals,pass,pass,1,1,1950,104.5
deepseek-32b,python,parse_json_safely,pass,pass,1,1,1316,73.1
deepseek-32b,python,run_length_encode,pass,pass,1,1,1121,59.5
deepseek-32b,python,top_k_words,pass,pass,1,1,542,29.6
deepseek-32b,python,topological_sort,no_code,pass,2,2,7685,424.6
devstral,bash,backup_rotate,pass,pass,1,1,150,6.2
devstral,bash,count_matches,fail,fail,0,5,171,7.7
devstral,bash,csv_col,fail,fail,0,5,752,30.7
devstral,bash,extract_urls,fail,pass,5,5,151,6.8
devstral,bash,find_dupes,fail,fail,0,5,814,33.4
devstral,bash,json_get,pass,pass,1,1,43,1.9
devstral,bash,largest_file,fail,fail,0,5,207,9.5
devstral,bash,retry3,pass,pass,1,1,89,3.8
devstral,bash,rotate,pass,pass,1,1,53,2.3
devstral,bash,sum_stdin,pass,pass,1,1,58,2.5
devstral,bash,top_errors,pass,pass,1,1,122,5.0
devstral,c,atoi_strict,pass,pass,1,1,166,5.1
devstral,c,binary_search,pass,pass,1,1,115,3.4
devstral,c,bswap32,pass,pass,1,1,111,3.4
devstral,c,cmp_desc,pass,pass,1,1,62,1.9
devstral,c,count_words,pass,pass,1,1,88,2.7
devstral,c,csv_field,wrong_answer,wrong_answer,0,5,1698,53.6
devstral,c,fizzbuzz,pass,pass,1,1,121,3.6
devstral,c,glob_match,pass,pass,1,1,167,5.1
devstral,c,is_prime,pass,pass,1,1,118,3.5
devstral,c,itoa,pass,pass,1,1,172,5.1
devstral,c,max_subarray,pass,pass,1,1,111,3.3
devstral,c,parse_csv_ints,pass,pass,1,1,141,4.3
devstral,c,popcount,pass,pass,1,1,47,1.5
devstral,c,reverse_string,pass,pass,1,1,81,3.8
devstral,c,ring,pass,pass,1,1,195,5.9
devstral,c,rot13,pass,pass,1,1,80,2.5
devstral,c,rpn_eval,pass,pass,1,1,313,9.5
devstral,c,stack,pass,pass,1,1,145,4.4
devstral,c,trim,compile_error,pass,3,3,389,12.5
devstral,python,csv_column_sum,pass,pass,1,1,86,3.6
devstral,python,deep_get,pass,pass,1,1,62,2.8
devstral,python,flatten,pass,pass,1,1,44,2.7
devstral,python,is_valid_ipv4,pass,pass,1,1,100,4.0
devstral,python,json_diff,pass,pass,1,1,360,14.5
devstral,python,lru_cache,pass,pass,1,1,151,6.2
devstral,python,merge_intervals,pass,pass,1,1,94,4.1
devstral,python,parse_json_safely,pass,pass,1,1,40,1.3
devstral,python,run_length_encode,pass,pass,1,1,96,4.1
devstral,python,top_k_words,pass,pass,1,1,99,2.9
devstral,python,topological_sort,fail,fail,0,5,1015,42.5
devstral2,bash,backup_rotate,pass,pass,1,1,150,6.4
devstral2,bash,count_matches,fail,fail,0,5,155,6.6
devstral2,bash,csv_col,fail,fail,0,5,752,32.5
devstral2,bash,extract_urls,fail,fail,0,5,160,6.9
devstral2,bash,find_dupes,fail,fail,0,5,758,32.1
devstral2,bash,json_get,pass,pass,1,1,43,2.0
devstral2,bash,largest_file,fail,pass,2,2,102,4.4
devstral2,bash,retry3,pass,pass,1,1,89,3.6
devstral2,bash,rotate,pass,pass,1,1,53,2.4
devstral2,bash,sum_stdin,pass,pass,1,1,58,2.6
devstral2,bash,top_errors,pass,pass,1,1,122,5.2
devstral2,c,atoi_strict,pass,pass,1,1,166,7.6
devstral2,c,binary_search,pass,pass,1,1,115,5.4
devstral2,c,bswap32,pass,pass,1,1,111,5.7
devstral2,c,cmp_desc,pass,pass,1,1,62,2.9
devstral2,c,count_words,pass,pass,1,1,88,3.9
devstral2,c,csv_field,wrong_answer,wrong_answer,0,5,1760,77.3
devstral2,c,fizzbuzz,pass,pass,1,1,121,5.8
devstral2,c,glob_match,pass,pass,1,1,167,7.5
devstral2,c,is_prime,pass,pass,1,1,118,4.6
devstral2,c,itoa,pass,pass,1,1,172,8.3
devstral2,c,max_subarray,pass,pass,1,1,111,5.2
devstral2,c,parse_csv_ints,pass,pass,1,1,141,7.4
devstral2,c,popcount,pass,pass,1,1,47,2.5
devstral2,c,reverse_string,pass,pass,1,1,81,3.9
devstral2,c,ring,pass,pass,1,1,195,8.8
devstral2,c,rot13,pass,pass,1,1,80,4.1
devstral2,c,rpn_eval,pass,pass,1,1,313,13.5
devstral2,c,stack,pass,pass,1,1,145,7.5
devstral2,c,trim,compile_error,pass,3,3,390,19.4
devstral2,python,csv_column_sum,pass,pass,1,1,86,3.0
devstral2,python,deep_get,pass,pass,1,1,62,2.2
devstral2,python,flatten,pass,pass,1,1,44,1.5
devstral2,python,is_valid_ipv4,pass,pass,1,1,100,3.4
devstral2,python,json_diff,pass,pass,1,1,360,13.5
devstral2,python,lru_cache,pass,pass,1,1,151,5.7
devstral2,python,merge_intervals,pass,pass,1,1,94,3.3
devstral2,python,parse_json_safely,pass,pass,1,1,40,1.4
devstral2,python,run_length_encode,pass,pass,1,1,96,3.3
devstral2,python,top_k_words,pass,pass,1,1,99,3.4
devstral2,python,topological_sort,fail,fail,0,5,1003,36.9
gemma,bash,backup_rotate,pass,pass,1,1,201,2.4
gemma,bash,count_matches,fail,fail,0,5,2918,34.0
gemma,bash,csv_col,fail,pass,4,4,1497,18.1
gemma,bash,extract_urls,fail,pass,4,4,235,3.5
gemma,bash,find_dupes,fail,fail,0,5,3076,37.0
gemma,bash,json_get,pass,pass,1,1,49,0.8
gemma,bash,largest_file,fail,pass,2,2,256,3.3
gemma,bash,retry3,pass,pass,1,1,56,0.8
gemma,bash,rotate,pass,pass,1,1,58,0.9
gemma,bash,sum_stdin,pass,pass,1,1,55,0.8
gemma,bash,top_errors,fail,pass,2,2,494,5.9
gemma,c,atoi_strict,pass,pass,1,1,234,2.3
gemma,c,binary_search,pass,pass,1,1,134,1.4
gemma,c,bswap32,pass,pass,1,1,125,1.3
gemma,c,cmp_desc,pass,pass,1,1,97,1.1
gemma,c,count_words,pass,pass,1,1,129,1.4
gemma,c,csv_field,compile_error,compile_error,0,5,5120,52.1
gemma,c,fizzbuzz,pass,pass,1,1,128,1.3
gemma,c,glob_match,pass,pass,1,1,201,2.0
gemma,c,is_prime,pass,pass,1,1,149,1.5
gemma,c,itoa,pass,pass,1,1,370,3.6
gemma,c,max_subarray,pass,pass,1,1,139,1.5
gemma,c,parse_csv_ints,compile_error,pass,2,2,440,4.5
gemma,c,popcount,pass,pass,1,1,64,0.8
gemma,c,reverse_string,pass,pass,1,1,109,2.6
gemma,c,ring,pass,pass,1,1,220,2.2
gemma,c,rot13,pass,pass,1,1,154,1.6
gemma,c,rpn_eval,compile_error,wrong_answer,0,5,2911,28.9
gemma,c,stack,pass,pass,1,1,163,1.7
gemma,c,trim,pass,pass,1,1,177,1.8
gemma,python,csv_column_sum,pass,pass,1,1,95,1.0
gemma,python,deep_get,pass,pass,1,1,73,0.8
gemma,python,flatten,pass,pass,1,1,56,2.5
gemma,python,is_valid_ipv4,pass,pass,1,1,146,1.5
gemma,python,json_diff,pass,pass,1,1,205,2.5
gemma,python,lru_cache,pass,pass,1,1,164,2.0
gemma,python,merge_intervals,pass,pass,1,1,164,1.6
gemma,python,parse_json_safely,pass,pass,1,1,48,0.6
gemma,python,run_length_encode,pass,pass,1,1,129,1.3
gemma,python,top_k_words,pass,pass,1,1,139,1.4
gemma,python,topological_sort,pass,pass,1,1,388,3.8
glm-flash,bash,backup_rotate,fail,fail,0,5,5120,73.5
glm-flash,bash,count_matches,fail,pass,3,3,162,2.6
glm-flash,bash,csv_col,pass,pass,1,1,293,4.0
glm-flash,bash,extract_urls,fail,pass,2,2,71,1.3
glm-flash,bash,find_dupes,fail,fail,0,5,2384,33.8
glm-flash,bash,json_get,pass,pass,1,1,42,0.7
glm-flash,bash,largest_file,fail,fail,0,5,705,10.2
glm-flash,bash,retry3,pass,pass,1,1,65,1.0
glm-flash,bash,rotate,pass,pass,1,1,79,1.2
glm-flash,bash,sum_stdin,pass,pass,1,1,58,0.9
glm-flash,bash,top_errors,fail,fail,0,5,3939,56.0
glm-flash,c,atoi_strict,compile_error,compile_error,0,5,5120,82.4
glm-flash,c,binary_search,pass,pass,1,1,121,1.9
glm-flash,c,bswap32,pass,pass,1,1,85,1.4
glm-flash,c,cmp_desc,compile_error,pass,2,2,178,3.0
glm-flash,c,count_words,compile_error,compile_error,0,5,2481,37.2
glm-flash,c,csv_field,compile_error,compile_error,0,5,5120,89.7
glm-flash,c,fizzbuzz,compile_error,compile_error,0,5,4230,66.9
glm-flash,c,glob_match,pass,pass,1,1,200,3.5
glm-flash,c,is_prime,compile_error,compile_error,0,5,5120,80.1
glm-flash,c,itoa,compile_error,compile_error,0,5,5120,87.6
glm-flash,c,max_subarray,pass,pass,1,1,145,2.3
glm-flash,c,parse_csv_ints,compile_error,compile_error,0,5,5120,81.8
glm-flash,c,popcount,pass,pass,1,1,51,1.0
glm-flash,c,reverse_string,compile_error,pass,2,2,205,4.4
glm-flash,c,ring,pass,pass,1,1,184,2.8
glm-flash,c,rot13,pass,pass,1,1,111,1.9
glm-flash,c,rpn_eval,compile_error,compile_error,0,5,5120,89.0
glm-flash,c,stack,pass,pass,1,1,121,2.2
glm-flash,c,trim,compile_error,compile_error,0,5,3521,52.4
glm-flash,python,csv_column_sum,fail,fail,0,5,705,10.0
glm-flash,python,deep_get,pass,pass,1,1,56,0.9
glm-flash,python,flatten,pass,pass,1,1,22,2.1
glm-flash,python,is_valid_ipv4,pass,pass,1,1,117,1.6
glm-flash,python,json_diff,fail,fail,0,5,3530,48.4
glm-flash,python,lru_cache,fail,fail,0,5,852,12.1
glm-flash,python,merge_intervals,pass,pass,1,1,142,1.9
glm-flash,python,parse_json_safely,pass,pass,1,1,51,0.7
glm-flash,python,run_length_encode,pass,pass,1,1,96,1.3
glm-flash,python,top_k_words,fail,pass,2,2,722,9.7
glm-flash,python,topological_sort,pass,pass,1,1,236,3.1
gptoss,bash,backup_rotate,fail,pass,2,2,4829,59.9
gptoss,bash,count_matches,fail,pass,4,4,2966,31.0
gptoss,bash,csv_col,pass,pass,1,1,1071,17.6
gptoss,bash,extract_urls,fail,pass,2,2,1278,12.9
gptoss,bash,find_dupes,fail,pass,2,2,6392,67.1
gptoss,bash,json_get,pass,pass,1,1,596,10.1
gptoss,bash,largest_file,fail,pass,2,2,994,10.0
gptoss,bash,retry3,pass,pass,1,1,3055,30.5
gptoss,bash,rotate,pass,pass,1,1,432,6.9
gptoss,bash,sum_stdin,pass,pass,1,1,306,5.1
gptoss,bash,top_errors,pass,pass,1,1,850,9.1
gptoss,c,atoi_strict,pass,pass,1,1,1179,11.9
gptoss,c,binary_search,pass,pass,1,1,243,2.2
gptoss,c,bswap32,pass,pass,1,1,272,2.7
gptoss,c,cmp_desc,pass,pass,1,1,428,4.3
gptoss,c,count_words,pass,pass,1,1,329,3.1
gptoss,c,csv_field,pass,pass,1,1,4057,45.4
gptoss,c,fizzbuzz,pass,pass,1,1,416,3.7
gptoss,c,glob_match,pass,pass,1,1,476,4.9
gptoss,c,is_prime,pass,pass,1,1,230,2.1
gptoss,c,itoa,pass,pass,1,1,923,8.8
gptoss,c,max_subarray,pass,pass,1,1,291,2.8
gptoss,c,parse_csv_ints,pass,pass,1,1,474,4.6
gptoss,c,popcount,pass,pass,1,1,181,1.8
gptoss,c,reverse_string,pass,pass,1,1,258,4.0
gptoss,c,ring,pass,pass,1,1,425,4.3
gptoss,c,rot13,pass,pass,1,1,319,3.1
gptoss,c,rpn_eval,pass,pass,1,1,764,7.9
gptoss,c,stack,pass,pass,1,1,301,2.9
gptoss,c,trim,pass,pass,1,1,634,6.3
gptoss,python,csv_column_sum,pass,pass,1,1,205,2.0
gptoss,python,deep_get,pass,pass,1,1,253,2.4
gptoss,python,flatten,pass,pass,1,1,220,2.2
gptoss,python,is_valid_ipv4,pass,pass,1,1,449,4.1
gptoss,python,json_diff,pass,pass,1,1,590,5.5
gptoss,python,lru_cache,pass,pass,1,1,312,2.9
gptoss,python,merge_intervals,pass,pass,1,1,211,2.0
gptoss,python,parse_json_safely,pass,pass,1,1,212,2.0
gptoss,python,run_length_encode,pass,pass,1,1,181,1.7
gptoss,python,top_k_words,pass,pass,1,1,382,3.5
gptoss,python,topological_sort,pass,pass,1,1,922,8.4
gptoss120,bash,backup_rotate,pass,pass,1,1,638,10.7
gptoss120,bash,count_matches,fail,pass,2,2,1137,18.2
gptoss120,bash,csv_col,pass,pass,1,1,500,8.6
gptoss120,bash,extract_urls,fail,pass,2,2,673,11.4
gptoss120,bash,find_dupes,pass,pass,1,1,1340,21.9
gptoss120,bash,json_get,fail,pass,2,2,1041,17.7
gptoss120,bash,largest_file,fail,pass,4,4,4128,67.2
gptoss120,bash,retry3,pass,pass,1,1,208,3.6
gptoss120,bash,rotate,pass,pass,1,1,406,6.9
gptoss120,bash,sum_stdin,pass,pass,1,1,143,2.6
gptoss120,bash,top_errors,fail,pass,2,2,1177,20.0
gptoss120,c,atoi_strict,pass,pass,1,1,501,6.8
gptoss120,c,binary_search,pass,pass,1,1,202,2.8
gptoss120,c,bswap32,link_error,pass,2,2,344,5.1
gptoss120,c,cmp_desc,pass,pass,1,1,187,2.8
gptoss120,c,count_words,pass,pass,1,1,204,2.8
gptoss120,c,csv_field,pass,pass,1,1,981,13.3
gptoss120,c,fizzbuzz,pass,pass,1,1,180,2.5
gptoss120,c,glob_match,pass,pass,1,1,541,7.3
gptoss120,c,is_prime,pass,pass,1,1,200,2.7
gptoss120,c,itoa,pass,pass,1,1,823,10.7
gptoss120,c,max_subarray,pass,pass,1,1,248,3.3
gptoss120,c,parse_csv_ints,pass,pass,1,1,375,5.0
gptoss120,c,popcount,pass,pass,1,1,117,1.7
gptoss120,c,reverse_string,pass,pass,1,1,172,6.8
gptoss120,c,ring,pass,pass,1,1,359,5.1
gptoss120,c,rot13,pass,pass,1,1,217,2.9
gptoss120,c,rpn_eval,pass,pass,1,1,826,11.1
gptoss120,c,stack,pass,pass,1,1,314,4.3
gptoss120,c,trim,pass,pass,1,1,551,7.4
gptoss120,python,csv_column_sum,pass,pass,1,1,500,7.9
gptoss120,python,deep_get,pass,pass,1,1,307,5.1
gptoss120,python,flatten,pass,pass,1,1,275,13.5
gptoss120,python,is_valid_ipv4,pass,pass,1,1,366,5.9
gptoss120,python,json_diff,pass,pass,1,1,695,11.0
gptoss120,python,lru_cache,pass,pass,1,1,500,8.1
gptoss120,python,merge_intervals,pass,pass,1,1,273,4.5
gptoss120,python,parse_json_safely,pass,pass,1,1,149,2.5
gptoss120,python,run_length_encode,pass,pass,1,1,194,3.2
gptoss120,python,top_k_words,pass,pass,1,1,329,5.4
gptoss120,python,topological_sort,pass,pass,1,1,468,7.5
k2horizon,bash,backup_rotate,fail,pass,2,2,339,5.3
k2horizon,bash,count_matches,pass,pass,1,1,39,0.7
k2horizon,bash,csv_col,pass,pass,1,1,123,1.9
k2horizon,bash,extract_urls,fail,pass,2,2,55,1.1
k2horizon,bash,find_dupes,fail,fail,0,5,1658,24.9
k2horizon,bash,json_get,fail,fail,0,5,160,2.7
k2horizon,bash,largest_file,fail,fail,0,5,275,4.1
k2horizon,bash,retry3,fail,fail,0,5,314,4.9
k2horizon,bash,rotate,fail,pass,4,4,1550,23.1
k2horizon,bash,sum_stdin,pass,pass,1,1,63,1.1
k2horizon,bash,top_errors,pass,pass,1,1,120,1.9
k2horizon,c,atoi_strict,compile_error,pass,2,2,356,6.1
k2horizon,c,binary_search,pass,pass,1,1,103,1.8
k2horizon,c,bswap32,pass,pass,1,1,96,1.6
k2horizon,c,cmp_desc,pass,pass,1,1,68,1.2
k2horizon,c,count_words,pass,pass,1,1,86,1.5
k2horizon,c,csv_field,wrong_answer,wrong_answer,0,5,1740,28.7
k2horizon,c,fizzbuzz,pass,pass,1,1,91,1.6
k2horizon,c,glob_match,pass,pass,1,1,180,3.0
k2horizon,c,is_prime,pass,pass,1,1,95,1.6
k2horizon,c,itoa,wrong_answer,wrong_answer,0,5,1005,16.5
k2horizon,c,max_subarray,pass,pass,1,1,121,2.0
k2horizon,c,parse_csv_ints,pass,pass,1,1,150,2.5
k2horizon,c,popcount,pass,pass,1,1,106,1.8
k2horizon,c,reverse_string,compile_error,pass,2,2,175,3.0
k2horizon,c,ring,pass,pass,1,1,189,3.2
k2horizon,c,rot13,wrong_answer,pass,2,2,179,3.1
k2horizon,c,rpn_eval,pass,pass,1,1,272,4.5
k2horizon,c,stack,pass,pass,1,1,140,2.3
k2horizon,c,trim,compile_error,pass,4,4,520,8.9
k2horizon,python,csv_column_sum,pass,pass,1,1,77,1.1
k2horizon,python,deep_get,pass,pass,1,1,53,0.8
k2horizon,python,flatten,pass,pass,1,1,23,0.4
k2horizon,python,is_valid_ipv4,pass,pass,1,1,86,1.2
k2horizon,python,json_diff,fail,fail,0,5,780,11.3
k2horizon,python,lru_cache,pass,pass,1,1,139,2.0
k2horizon,python,merge_intervals,pass,pass,1,1,97,1.3
k2horizon,python,parse_json_safely,pass,pass,1,1,40,0.6
k2horizon,python,run_length_encode,pass,pass,1,1,94,1.3
k2horizon,python,top_k_words,pass,pass,1,1,65,0.9
k2horizon,python,topological_sort,pass,pass,1,1,221,3.0
laguna,bash,backup_rotate,fail,fail,0,5,1028,9.2
laguna,bash,count_matches,fail,fail,0,5,255,2.2
laguna,bash,csv_col,pass,pass,1,1,152,1.4
laguna,bash,extract_urls,fail,pass,2,2,80,0.9
laguna,bash,find_dupes,fail,fail,0,5,981,8.8
laguna,bash,json_get,pass,pass,1,1,39,0.4
laguna,bash,largest_file,fail,fail,0,5,249,2.4
laguna,bash,retry3,pass,pass,1,1,84,0.8
laguna,bash,rotate,pass,pass,1,1,74,0.7
laguna,bash,sum_stdin,pass,pass,1,1,66,0.6
laguna,bash,top_errors,fail,fail,0,5,634,5.8
laguna,c,atoi_strict,pass,pass,1,1,174,1.7
laguna,c,binary_search,pass,pass,1,1,143,1.5
laguna,c,bswap32,pass,pass,1,1,130,1.3
laguna,c,cmp_desc,pass,pass,1,1,76,0.8
laguna,c,count_words,pass,pass,1,1,116,1.3
laguna,c,csv_field,wrong_answer,wrong_answer,0,5,2846,28.9
laguna,c,fizzbuzz,pass,pass,1,1,121,1.3
laguna,c,glob_match,pass,pass,1,1,202,2.0
laguna,c,is_prime,pass,pass,1,1,105,1.0
